ID,name,team,position,college_name,college_conference,fantasy_points
00-0037741,Jahan Dotson,PHI,WR,Penn State,Big Ten Conference,205.0
00-0037742,Treylon Burks,TEN,WR,Arkansas,Southeastern Conference,82.0
00-0037744,Trey McBride,ARI,TE,Colorado State,Mountain West Conference,265.0
00-0037745,Velus Jones,CAR,RB,Tennessee,Southeastern Conference,40.0
00-0037746,Brian Robinson,WAS,RB,Alabama,Southeastern Conference,432.0
00-0037801,Kavontae Turpin,DAL,WR,Texas Christian,Big Twelve Conference,124.0
00-0037805,Jeremy Ruckert,NYJ,TE,Ohio State,Big Ten Conference,26.0
00-0037809,Chigoziem Okonkwo,TEN,TE,Maryland,Big Ten Conference,186.0
00-0037816,Romeo Doubs,GB,WR,Nevada,Mountain West Conference,291.0
00-0037827,Tyrion Davis-Price,PHI,RB,Louisiana State,Southeastern Conference,12.0
00-0037834,Brock Purdy,SF,QB,Iowa State,Big Twelve Conference,760.0
00-0037837,Calvin Austin,PIT,WR,Memphis,American Athletic Conference,129.0
00-0037838,Isaiah Likely,BAL,TE,Coastal Carolina,Sun Belt Conference,237.0
00-0037840,Kyren Williams,LA,RB,Notre Dame,Independent,513.0
00-0038040,Zamir White,LV,RB,Georgia,Southeastern Conference,89.0
00-0038041,Jake Ferguson,DAL,TE,Wisconsin,Big Ten Conference,211.0
00-0038046,Charlie Kolar,BAL,TE,Iowa State,Big Twelve Conference,39.0
00-0038090,Skyy Moore,KC,WR,Western Michigan,Mid-American Conference,68.0
00-0038092,Erik Ezukanma,MIA,WR,Texas Tech,Big Twelve Conference,2.0
00-0038098,Pierre Strong,CLE,RB,South Dakota State,Missouri Valley Football Conference,79.0
00-0038102,Kenny Pickett,PHI,QB,Pittsburgh,Atlantic Coast Conference,284.0
00-0038104,Tyquan Thornton,NE,WR,Baylor,Big Twelve Conference,63.0
00-0038108,Bailey Zappe,CLE,QB,Western Kentucky,Conference USA,114.0
00-0038115,Daniel Bellinger,NYG,TE,San Diego State,Mountain West Conference,91.0
00-0038117,Wan'Dale Robinson,NYG,WR,Kentucky,Southeastern Conference,191.0
00-0038120,Breece Hall,NYJ,RB,Iowa State,Big Twelve Conference,494.0
00-0038122,Desmond Ridder,LV,QB,Cincinnati,American Athletic Conference,240.0
00-0038123,Dane Belton,NYG,SS,Iowa,Big Ten Conference,1.0
00-0038124,Christian Watson,GB,WR,North Dakota State,Missouri Valley Football Conference,274.0
00-0038128,Malik Willis,GB,QB,Liberty,Independent,74.0
00-0038129,Cade Otton,TB,TE,Washington,Pacific Twelve Conference,232.0
00-0038134,Kenneth Walker,SEA,RB,Michigan State,Big Ten Conference,493.0
00-0038359,Xavier Smith,LA,WR,Florida A&amp;M,Southwestern Athletic Conference,4.0
00-0038393,Dontayvion Wicks,GB,WR,Virginia,Atlantic Coast Conference,164.0
00-0038394,Will Mallory,IND,TE,Miami,Atlantic Coast Conference,23.0
00-0038396,Eric Gray,NYG,RB,Oklahoma,Big Twelve Conference,16.0
00-0038400,Tanner McKee,PHI,QB,Stanford,Pacific Twelve Conference,28.0
00-0038416,Tyson Bagent,CHI,QB,Shepherd,Mountain East Conference,53.0
00-0038454,Keaton Mitchell,BAL,RB,East Carolina,American Athletic Conference,66.0
00-0038465,Malik Heath,GB,WR,Mississippi,Southeastern Conference,40.0
00-0038476,Tommy DeVito,NYG,QB,Illinois,Big Ten Conference,107.0
00-0038477,Bryce Ford-Wheaton,NYG,WR,West Virginia,Big Twelve Conference,6.0
00-0038489,Ben VanSumeren,PHI,ILB,Michigan State,Big Ten Conference,0.0
00-0038496,Xavier Gipson,NYJ,WR,Stephen F. Austin,Southland Conference,52.0
00-0038498,E.J. Jenkins,PHI,TE,Georgia Tech,Atlantic Coast Conference,6.0
00-0038507,Grant DuBose,MIA,WR,North Carolina-Charlotte,Conference USA,1.0
00-0038519,Nikko Remigio,KC,WR,Fresno State,Mountain West Conference,4.0
00-0038542,Bijan Robinson,ATL,RB,Texas,Big Twelve Conference,469.0
00-0038543,Jaxon Smith-Njigba,SEA,WR,Ohio State,Big Ten Conference,239.0
00-0038544,Quentin Johnston,LAC,WR,Texas Christian,Big Twelve Conference,175.0
00-0038547,Luke Schoonmaker,DAL,TE,Michigan,Big Ten Conference,49.0
00-0038550,Hendon Hooker,DET,QB,Tennessee,Southeastern Conference,2.0
00-0038551,Kendre Miller,NO,RB,Texas Christian,Big Twelve Conference,57.0
00-0038555,Tank Bigsby,JAX,RB,Auburn,Southeastern Conference,145.0
00-0038558,Darnell Washington,PIT,TE,Georgia,Southeastern Conference,33.0
00-0038559,Michael Wilson,ARI,WR,Stanford,Pacific Twelve Conference,154.0
00-0038563,Tre Tucker,LV,WR,Cincinnati,American Athletic Conference,135.0
00-0038573,Derius Davis,LAC,WR,Texas Christian,Big Twelve Conference,49.0
00-0038576,Charlie Jones,CIN,WR,Purdue,Big Ten Conference,20.0
00-0038579,Aidan O'Connell,LV,QB,Purdue,Big Ten Conference,219.0
00-0038582,Clayton Tune,ARI,QB,Houston,American Athletic Conference,5.0
00-0038583,Dorian Thompson-Robinson,CLE,QB,UCLA,Pacific Twelve Conference,37.0
00-0038589,Josh Whyle,TEN,TE,Cincinnati,American Athletic Conference,48.0
00-0038597,Chase Brown,CIN,RB,Illinois,Big Ten Conference,240.0
00-0038606,Parker Washington,JAX,WR,Penn State,Big Ten Conference,88.0
00-0038608,Kayshon Boutte,NE,WR,Louisiana State,Southeastern Conference,80.0
00-0038611,Chris Rodriguez,WAS,RB,Kentucky,Southeastern Conference,66.0
00-0038614,Scott Matlock,LAC,FB,Boise State,Mountain West Conference,2.0
00-0038618,Xavier Hutchinson,HOU,WR,Iowa State,Big Twelve Conference,35.0
00-0038619,Andrei Iosivas,CIN,WR,Princeton,Ivy League,119.0
00-0038621,Demario Douglas,NE,WR,Liberty,Independent,139.0
00-0038622,Deuce Vaughn,DAL,RB,Kansas State,Big Twelve Conference,16.0
00-0038636,Kenny McIntosh,SEA,RB,Georgia,Southeastern Conference,19.0
00-0038640,Jalen Brooks,DAL,WR,South Carolina,Southeastern Conference,30.0
00-0038643,Brayden Willis,SF,TE,Oklahoma,Big Twelve Conference,0.0
00-0038647,Ronnie Bell,SF,WR,Michigan,Big Ten Conference,27.0
00-0038678,Jordan Mims,NO,RB,Fresno State,Mountain West Conference,14.0
00-0038679,Tyrell Shavers,BUF,WR,San Diego State,Mountain West Conference,12.0
00-0038685,Christopher Brooks,GB,RB,Brigham Young,Big Twelve Conference,42.0
00-0038705,Emari Demercado,ARI,RB,Texas Christian,Big Twelve Conference,91.0
00-0038710,Blake Whiteheart,CLE,TE,Wake Forest,Atlantic Coast Conference,11.0
00-0038720,Julian Hill,MIA,TE,Campbell,Pioneer Football League,12.0
00-0038728,Jared Wayne,HOU,WR,Pittsburgh,Atlantic Coast Conference,0.0
00-0038738,Hunter Luepke,DAL,FB,North Dakota State,Missouri Valley Football Conference,24.0
00-0038752,Jake Bobo,SEA,WR,UCLA,Pacific Twelve Conference,54.0
00-0038783,Nate Adkins,DEN,TE,South Carolina,Southeastern Conference,31.0
00-0038794,Jaleel McLaughlin,DEN,RB,Youngstown State,Missouri Valley Football Conference,148.0
00-0038797,Emanuel Wilson,GB,RB,Fort Valley State,Southern Intercollegiate Athletic Conference,103.0
00-0038809,Ben Sims,GB,TE,Baylor,Big Twelve Conference,12.0
00-0038821,Rakim Jarrett,TB,WR,Maryland,Big Ten Conference,18.0
00-0038824,Ryan Miller,TB,WR,Furman,Southern Conference,24.0
00-0038840,Brycen Tremayne,WAS,WR,Stanford,Pacific Twelve Conference,0.0
